Mode Name,Default,Linac and LTB,Booster,BTS,SR Injection,SR Inj Prep,SR Tunes,Topoff Intlk Testing,AR injection,EVT,,,Time Stamp Location Mode Name,Default,Linac and LTB,Booster,BTS,SR Injection,SR Inj Prep,SR Tunes,Topoff Intlk Testing,AR injection,Category Mode Name,Default,Linac and LTB,Booster,BTS,SR Injection,SR Inj Prep,SR Tunes,Topoff Intlk Testing,AR injection,,,Gen,Output,,,,BPM,HSD
Mode Number,0,10,20,30,40,41,42,50,60,Number,Timestamp Offset,Offset [Ticks],Functional Time Mode Number,0,10,20,30,40,41,42,50,60,Category Mode Number,0,10,20,30,40,41,42,50,60,Crate / IOC,EVR #,PG #,Port,PHY Trigger Output Port,Fine Delay,Notes,Trigger,Trigger
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR Magnet Trigger,x,x,x,x,x,x,x,x,x,10,0,,,Start,Start,Start,Start,Start,Start,Start,Start,Start,,,,,,,,,,,B0215,1,2,FP1,TTL Front 1,,"""Waveform trigger""",,
BR RF Trigger,x,x,x,x,x,x,x,x,x,10,0,,,Start,Start,Start,Start,Start,Start,Start,Start,Start,,,,,,,,,,,LI11,1,4,FP0,TTL Front 0,,,,
BR RF Tuner Servo Inhibit,x,x,x,x,x,x,x,x,x,10,0,,,Start,Start,Start,Start,Start,Start,Start,Start,Start,,,,,,,,,,,LI11,1,5,FP1,TTL Front 1,,BR RF inhibit during the ramp. Start time?  Width? ,,
BR RF Scope,x,x,x,x,x,x,x,x,x,10,0,,,Start,Start,Start,Start,Start,Start,Start,Start,Start,,,,,,,,,,,LI11,1,10,RB02,TTL Rear 02,,"Not in use, can repurpose",,
Peaking Strip Trigger (GC Monitor),x,x,x,x,x,x,x,x,x,10,0,,,Start,Start,Start,Start,Start,Start,Start,Start,Start,,,,,,,,,,,LI11,2,3,FP3,TTL Front 3,,,,
Booster Magnet IRM Trigger #1,x,x,x,x,x,x,x,x,x,10,0,,,Start,Start,Start,Start,Start,Start,Start,Start,Start,,,,,,,,,,,B0215,1,3,RB04,TTL Rear 04,,"B02 Sext and CM, Changed PG#3 to trigger on Evt 10",,
Booster Magnet IRM Trigger #2,x,x,x,x,x,x,x,x,x,10,0,,,Start,Start,Start,Start,Start,Start,Start,Start,Start,,,,,,,,,,,B0215,1,3,RB02,TTL Rear 02,,B02 Correctors,,
Booster Magnet IRM Trigger #3,x,x,x,x,x,x,x,x,x,10,0,,,Start,Start,Start,Start,Start,Start,Start,Start,Start,,,,,,,,,,,B0215,1,3,RB07,TTL Rear 07,,"B0218 SRS fanout to B01, B03, B04 ",,
LN Mod Scope,x,x,x,x,x,x,x,x,x,12,0,,,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,,,,,,,,,,,LI11,1,9,RB01,TTL Rear 01,,"Not in use, can repurpose",,
GTB CCD Trigger,,x,x,x,x,,,x,x,14,1,-625000,,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,,,,,,,,,,,S0817,1,3,FP1,TTL Front 1,,"Less 5 mses, Only if gun on",,
BR CCD Trigger,,,x,x,x,,,x,x,15,2,-625000,,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,,,,,,,,,,,B0215,1,4,RB00,TTL Rear 00,,"Less 5 msec, Only if gun on",,
User Gating Trigger,,,,,x,,,,x,16,3,,,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,,,,,,,,,,,S0123,1,6,FP3,TTL Front 3,,,,
BR Injection Field Monitor,x,x,x,x,x,x,x,x,x,18,4,,,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,,,,,,,,,,,S0817,1,4,FP2,TTL Front 2,,,,
GTL Buncher Scope,x,x,x,x,x,x,x,x,x,20,5,,,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,,,,,,,,,,,LI11,1,11,RB03,TTL Rear 03,,"Not in use, can repurpose",,
Wall Current (GTL) / TWE (BR) Scope,,x,x,x,x,,,x,x,22,6,,,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,,,,,,,,,,,LI11,1,12,RB04,TTL Rear 04,,"Not in use, can repurpose",,
Linac RF Master Trigger,x,x,x,x,x,x,x,x,x,24,7,,,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,,,,,,,,,,,LI11,2,0,FPUV0,Fine 0,UDC0,,,
BR Injection Field (GC Monitor),x,x,x,x,x,x,x,x,x,26,8,,,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,,,,,,,,,,,LI11,2,1,FP1,TTL Front 1,,,,
Gun Gate Monitor,x,x,x,x,x,x,x,x,x,28,9,,,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,,,,,,,,,,,LI11,2,4,FPUV1,Fine 1,UDC1,Where is this used?,,
BR Injection Kicker Scope,,,x,x,x,x,,x,x,30,10,,,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,,,,,,,,,,,S0817,1,2,FP0,TTL Front 0,,"Not in use, can repurpose",,
BR Injection Kicker Trigger,,,x,x,x,x,,x,x,30,10,,,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,,,,,,,,,,,S0817,1,0,FPUV0,Fine 0,UDC0,,,
LTB ICT Scope,,x,x,x,x,,,x,x,32,11,,,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,,,,,,,,,,,B0215,1,6,RB02,TTL Rear 02,,"Can remove the Evt, repurposed the trigger for BR Sext & CM",,
BR ICT Scope,,,x,x,x,,,x,x,34,12,,,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,,,,,,,,,,,B0215,1,7,RB03,TTL Rear 03,,"Not in use, can repurpose",,
Gun On,,x,x,x,x,,,,x,36,13,,,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,InjFieldSync + GunBunchDelay,,,,,,,,,,,LI11,1,0,FPUV0,Fine 0,UDC0,GunBunchDelay is from GunBunchToInjFieldTrigger waveform,x,
Gun Off,,x,x,x,x,,,,x,37,13,,,InjFieldSync + GunBunchDelay + #Bunches,InjFieldSync + GunBunchDelay + #Bunches,InjFieldSync + GunBunchDelay + #Bunches,InjFieldSync + GunBunchDelay + #Bunches,InjFieldSync + GunBunchDelay + #Bunches,InjFieldSync + GunBunchDelay + #Bunches,InjFieldSync + GunBunchDelay + #Bunches,InjFieldSync + GunBunchDelay + #Bunches,InjFieldSync + GunBunchDelay + #Bunches,,,,,,,,,,,LI11,1,1,FPUV1,Fine 1,UDC1,,,
BR Extraction Field (GC Monitor),x,x,x,x,x,x,x,x,x,38,0,,,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSync,ExtrFieldSyncAR,,,,,,,,,,2,LI11,2,2,FP2,TTL Front 2,,TargetBucket = 31.25 * ((21 * BucketNumber)%328),,
BR Bump Trigger,,,x,x,x,x,,x,x,40,1,-650000,,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSyncAR,,,,,,,,,,2,B0215,1,0,FP0,TTL Front 0,,Less 5.2 msec,,
BTS CCD Trigger,,,,x,x,,,x,x,42,2,-625000,,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSyncAR,,,,,,,,,,2,B0215,1,5,RB01,TTL Rear 01,,Less 5.0 msec,,
BTS ICT Scope,,,,x,x,,,x,x,44,3,,,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSyncAR,,,,,,,,,,2,B0215,1,3,RB04,TTL Rear 04,,"Can remove the Evt, repurposed the trigger for BR Sext & CM",,
BR Bump Scope,,,x,x,x,x,,x,x,46,4,,,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSyncAR,,,,,,,,,,2,B0215,1,9,RB05,TTL Rear 05,,"Not in use, can repurpose",,
BR Extraction Kicker Scope,,,x,x,x,x,,x,x,48,5,,,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSync + TargetBucket,ExtrFieldSyncAR,,,,,,,,,,2,B0215,1,10,RB06,TTL Rear 06,,"Not in use, can repurpose",,
